"","nu","n_u","total_rows","zero_count","proportion_zero"
"2095",0.13257114,0.13257114,212,45,0.212264150943396
"2096",0.13257114,0.13257114,212,45,0.212264150943396
"2097",0.13257114,0.13257114,212,45,0.212264150943396
"2098",0.13257114,0.13257114,212,45,0.212264150943396
"2099",0.13257114,0.13257114,212,45,0.212264150943396
"2100",0.13257114,0.13257114,212,45,0.212264150943396
"2101",0.13257114,0.13257114,212,45,0.212264150943396
"2102",0.13257114,0.13257114,212,45,0.212264150943396
"2103",0.13257114,0.13257114,212,45,0.212264150943396
"2104",0.13257114,0.13257114,212,45,0.212264150943396
"2105",0.13257114,0.13257114,212,45,0.212264150943396
"2106",0.13257114,0.13257114,212,45,0.212264150943396
"2107",0.13257114,0.13257114,212,45,0.212264150943396
"2108",0.13257114,0.13257114,212,45,0.212264150943396
"2109",0.13257114,0.13257114,212,45,0.212264150943396
"2110",0.13257114,0.13257114,212,45,0.212264150943396
"2111",0.13257114,0.13257114,212,45,0.212264150943396
"2112",0.13257114,0.13257114,212,45,0.212264150943396
"2113",0.13257114,0.13257114,212,45,0.212264150943396
"2114",0.13257114,0.13257114,212,45,0.212264150943396
"2115",0.13257114,0.13257114,212,45,0.212264150943396
"2116",0.13257114,0.13257114,212,45,0.212264150943396
"2117",0.13257114,0.13257114,212,45,0.212264150943396
"2118",0.13257114,0.13257114,212,45,0.212264150943396
"2119",0.13257114,0.13257114,212,45,0.212264150943396
"2120",0.13257114,0.13257114,212,45,0.212264150943396
"2121",0.13257114,0.13257114,212,45,0.212264150943396
"2122",0.13257114,0.13257114,212,45,0.212264150943396
"2123",0.13257114,0.13257114,212,45,0.212264150943396
"2124",0.13257114,0.13257114,212,45,0.212264150943396
"2125",0.13257114,0.13257114,212,45,0.212264150943396
"2126",0.13257114,0.13257114,212,45,0.212264150943396
"2127",0.13257114,0.13257114,212,45,0.212264150943396
"2128",0.13257114,0.13257114,212,45,0.212264150943396
"2129",0.13257114,0.13257114,212,45,0.212264150943396
"2130",0.13257114,0.13257114,212,45,0.212264150943396
"2131",0.13257114,0.13257114,212,45,0.212264150943396
"2132",0.13257114,0.13257114,212,45,0.212264150943396
"2133",0.13257114,0.13257114,212,45,0.212264150943396
"2134",0.13257114,0.13257114,212,45,0.212264150943396
"2135",0.13257114,0.13257114,212,45,0.212264150943396
"2136",0.13257114,0.13257114,212,45,0.212264150943396
"2137",0.13257114,0.13257114,212,45,0.212264150943396
"2138",0.13257114,0.13257114,212,45,0.212264150943396
"2139",0.13257114,0.13257114,212,45,0.212264150943396
"2140",0.13257114,0.13257114,212,45,0.212264150943396
"2141",0.13257114,0.13257114,212,45,0.212264150943396
"2142",0.13257114,0.13257114,212,45,0.212264150943396
"2143",0.13257114,0.13257114,212,45,0.212264150943396
"2144",0.13257114,0.13257114,212,45,0.212264150943396
"2145",0.13257114,0.13257114,212,45,0.212264150943396
"2146",0.13257114,0.13257114,212,45,0.212264150943396
"2147",0.13257114,0.13257114,212,45,0.212264150943396
"2148",0.13257114,0.13257114,212,45,0.212264150943396
"2149",0.13257114,0.13257114,212,45,0.212264150943396
"2150",0.13257114,0.13257114,212,45,0.212264150943396
"2151",0.13257114,0.13257114,212,45,0.212264150943396
"2152",0.13257114,0.13257114,212,45,0.212264150943396
"2153",0.13257114,0.13257114,212,45,0.212264150943396
"2154",0.13257114,0.13257114,212,45,0.212264150943396
"2155",0.13257114,0.13257114,212,45,0.212264150943396
"2156",0.13257114,0.13257114,212,45,0.212264150943396
"2157",0.13257114,0.13257114,212,45,0.212264150943396
"2158",0.13257114,0.13257114,212,45,0.212264150943396
"2159",0.13257114,0.13257114,212,45,0.212264150943396
